1970,0,0,0,0,2,10
1980,1,23,0,6500000,2.925,535
1990,0.5,0,0,500000,2.5,61.5
2000,0.5,0,0,60000,2.24,25
2010,0.333333333,0,0,1055000,1.85,110
2020,0,0,0,50000,1.5,150
